Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,11788
Guangdong,Mainland China,2020-02-20T11:13:27,1332,5,642
Henan,Mainland China,2020-02-20T13:53:06,1265,19,637
Zhejiang,Mainland China,2020-02-20T11:13:27,1175,1,633
Hunan,Mainland China,2020-02-20T11:13:27,1010,4,634
Anhui,Mainland China,2020-02-20T09:53:02,987,6,474
Jiangxi,Mainland China,2020-02-20T05:23:02,934,1,433
Jiangsu,Mainland China,2020-02-20T12:53:02,631,0,356
Chongqing,Mainland China,2020-02-20T23:13:05,567,6,299
Shandong,Mainland China,2020-02-20T11:13:27,546,4,254
Sichuan,Mainland China,2020-02-20T09:53:02,520,3,217
Heilongjiang,Mainland China,2020-02-20T09:43:01,476,12,136
Beijing,Mainland China,2020-02-20T01:43:01,395,4,153
Shanghai,Mainland China,2020-02-20T06:03:03,334,2,199
Hebei,Mainland China,2020-02-20T11:13:27,307,5,169
Fujian,Mainland China,2020-02-20T12:23:02,293,1,126
Guangxi,Mainland China,2020-02-20T09:43:01,245,2,90
Shaanxi,Mainland China,2020-02-20T09:53:02,245,1,118
Yunnan,Mainland China,2020-02-20T23:13:05,174,2,79
Hainan,Mainland China,2020-02-20T09:53:02,168,4,86
Guizhou,Mainland China,2020-02-20T09:43:01,146,2,72
Shanxi,Mainland China,2020-02-20T23:13:05,132,0,76
Tianjin,Mainland China,2020-02-20T12:53:02,131,3,59
Liaoning,Mainland China,2020-02-20T06:23:02,121,1,59
Gansu,Mainland China,2020-02-20T14:13:17,91,2,71
Jilin,Mainland China,2020-02-20T09:43:01,91,1,43
Xinjiang,Mainland China,2020-02-20T13:33:02,76,1,22
Inner Mongolia,Mainland China,2020-02-20T12:53:02,75,0,16
Ningxia,Mainland China,2020-02-20T05:23:02,71,0,44
Qinghai,Mainland China,2020-02-19T04:53:02,18,0,16
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
